systemID,systemName,x,y,2271,2317,2319,2341,2366,2571,2596,2750,2765,2767,2772,2773,2774,2783,2786,2821,2822,2830,2864,3025,3030,3040,3049,3050a,3050b,3050c,3051,3052,3057,3058,3059a,3059b,3059c,3059d,3063,3067,3068,3075,3079,3081,3085,3095,3130,3135,3145,3151,3152
1491,Lima,235.741,53.979,U,U,I,I,I,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,DC|Galedon Military District|Matsuida Prefecture,FS|Draconis March|Robinson Operational Area|Raman PDZ,DC|Galedon Military District|Matsuida Prefecture,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FCF|Draconis March|Robinson Operational Area|Raman PDZ,FS|Draconis March|Robinson Operational Area|Raman PDZ,FS|Draconis March|Robinson Operational Area|Raman PDZ,FS|Draconis March|Robinson Operational Area|Raman PDZ,FS|Draconis March|Robinson Operational Area|Raman PDZ,FS|Draconis March|Robinson Operational Area|Raman PDZ,FS|Draconis March|Robinson Operational Area|Raman PDZ,FS|Draconis March|Robinson Operational Area|Raman PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,DC|New Samarkand Military District|Barlow's End Prefecture,DC|New Samarkand Military District|Barlow's End Prefecture,DC|New Samarkand Military District|Barlow's End Prefecture
1492,Linden,737.651,261.963,U,U,U,U,U,U,U,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1493,Lindenmarle,-206.199,-384.383,U,U,U,U,U,MOC,MOC,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC
1494,Lindsay,206.530,-350.025,U,U,U,U,TC,TC,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Altair PDZ,FS|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FCF|Capellan March|Taygeta Operational Area|Altair PDZ,FS|Capellan March|Taygeta Operational Area|Altair PDZ,FS|Capellan March|Taygeta Operational Area|Altair PDZ,TC,TC,TC,TC,TC,TC,TC,TC,TC,TC
1495,Ling,-43.954,-121.068,I,I,I,I,CCom,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,I,I,I,I,I,FWL,FWL,FWL
1496,Linhauiguan,15.772,-425.723,U,U,U,U,U,U,U,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 13,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 14,CC|Sian Commonality|Region 14,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1497,Linneus,450.285,-8.057,U,U,U,U,U,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 1,FS|Draconis March|Woodbine Operational Area|Region 5,FS|Draconis March|Woodbine Operational Area|Region 5,FS|Draconis March|Woodbine Operational Area|Region 5,FS|Draconis March|Woodbine Operational Area|Region 5,FS|Draconis March|Woodbine Operational Area|Mayetta PDZ,FS|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FCF|Draconis March|Woodbine Operational Area|Mayetta PDZ,FS|Draconis March|Woodbine Operational Area|Mayetta PDZ,FS|Draconis March|Woodbine Operational Area|Mayetta PDZ,FS|Draconis March|Woodbine Operational Area|Mayetta PDZ,FS|Draconis March|Woodbine Operational Area|Mayetta PDZ,FS|Draconis March|Woodbine Operational Area|Mayetta PDZ,FS|Draconis March|Woodbine Operational Area|Mayetta PDZ,FS|Draconis March|Woodbine Operational Area|Mayetta PDZ,FS|Draconis March|Woodbine Operational Area|Mayeatta PDZ,FS|Draconis March|Milligan Operational Area|Milligan PDZ,DC|New Samarkand Military District|Tancredi Prefecture,DC|New Samarkand Military District|Tancredi Prefecture,FS|Draconis March|Tancredi Operational Area|Mayetta PDZ
1498,Linqing,341.726,310.400,U,U,U,U,U,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture,DC|Pesht Military District|Ningxia Prefecture
1499,Lintz,-172.135,138.445,U,U,U,U,U,U,U,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1500,Lipton,-33.864,6.414,I,TH,TH,TH,TH,TH|Tyrfing Province,TH|Tyrfing Province,TH|Tyrfing Province,TH|Tyrfing Province,AE|Tyrfing Province,AE|Tyrfing Province,AE|Tyrfing Province,AE|Tyrfing Province,TH|Tyrfing Province,TH|New Dallas Province,LC|Federation of Skye|Isle of Skye,LC|Federation of Skye|Isle of Skye,LC|Federation of Skye|Isle of Skye,LC|Federation of Skye|Isle of Skye,LC|Federation of Skye|Isle of Skye,LC|Federation of Skye|Isle of Skye,FCL|Skye March|Alcor Operational Area|Region 3,FCL|Skye March|Alcor Operational Area|Region 3,FCL|Skye March|Alcor Operational Area|Region 3,FCL|Skye March|Alcor Operational Area|Region 3,FCL|Skye March|Alcor Operational Area|Region 3,FCL|Skye March|Alcor Operational Area|Region 3,FCL|Skye March|Alcor Operational Area|Region 3,LA|Skye March|Alcor Operational Area|Region 3,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,WB,CoF,RS|Prefecture VIII,RS|Prefecture VIII,RS|Prefecture VIII,RS|Prefecture VIII,RS|Prefecture VIII,RS,WE,WE
1501,Listowel,150.173,-67.516,U,I,I,I,FS,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Marlette Prefecture,FS|Crucis March|Markesan Operational Area|Marlette Prefecture,FS|Crucis March|Markesan Operational Area|Marlette Prefecture,FS|Crucis March|Markesan Operational Area|Marlette Prefecture,FS|Crucis March|Markesan Operational Area|Marlette Prefecture
1502,Ljugarn,197.997,120.407,U,U,I,I,I,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture,DC|Benjamin Military District|Irurzun Prefecture
1503,Loburg,-324.716,10.294,U,U,U,U,U,U,U,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,FCL|Donegal March|Alarion Operational Area|Region 3,LA|Donegal March|Alarion Operational Area|Region 3,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Alarion Province,LA|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Buena Province,LC|Bolan Province
1504,Lochmantle,138.301,-327.701,U,U,U,U,U,U,U,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 10,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1505,Lockdale,40.275,2.570,U,U,U,U,TH,TH|Lockdale Province,TH|Lockdale Province|Region Capital,TH|Lockdale Province|Region Capital,TH|Lockdale Province|Region Capital,AE|Lockdale Province|Region Capital,AE|Lockdale Province|Region Capital,AE|Lockdale Province|Region Capital,AE|Lockdale Province|Region Capital,TH|Lockdale Province|Region Capital,TH|Lockdale Province|Region Capital,DC|Dieron Military District|Lone Star Prefecture,DC|Dieron Military District|Lone Star Prefecture,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1506,Lockton,-134.304,-433.413,U,U,U,U,U,MOC,MOC,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC|Canopus District,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC,MOC
1507,Loeches,-74.451,-201.153,FO,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,DO,DO,OP,OP,OP,FWL|Oriente Protectorate,FWL|Oriente Protectorate,FWL|Oriente Protectorate
1508,Logandale,143.195,-35.976,U,I,I,I,FS,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FCF|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Achemar Combat Region,FS|Crucis March|Markesan Operational Area|Marlette Prefecture,FS|Crucis March|Markesan Operational Area|Marlette Prefecture,FS|Crucis March|Markesan Operational Area|Marlette Prefecture,FS|Crucis March|Markesan Operational Area|Marlette Prefecture,FS|Crucis March|Markesan Operational Area|Marlette Prefecture
1509,Logan's Land,323.666,-356.676,U,U,U,U,U,U,U,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC|Perdition Union,TC,TC,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ,FS|Periphery March|June Operational Area|Warren PDZ
1510,Logres,-317.919,175.646,U,U,U,U,U,U,U,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1511,Loikaw,727.622,203.962,U,U,U,U,U,U,U,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,OA|Blommestein Province,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1512,Lokoja,-379.616,434.301,U,U,U,U,U,U,U,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,I,I,I,I,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1513,Lonaconing,257.971,374.510,U,U,U,U,U,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Lonaconing Prefecture|Region Capital,DC|Pesht Military District|Lonaconing Prefecture|Region Capital,DC|Pesht Military District|Lonaconing Prefecture|Region Capital,DC|Pesht Military District|Lonaconing Prefecture|Region Capital,DC|Pesht Military District|Lonaconing Prefecture|Region Capital,DC|Pesht Military District|Lonaconing Prefecture|Region Capital,DC|Pesht Military District|Lonaconing Prefecture|Region Capital,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture,DC|Pesht Military District|Bjarred Prefecture
